Variable,Value
makam,muhayyer
form,seyir
usul,sofyan
title,1
composer,sefik_gurmeric
filename,muhayyer--seyir--sofyan--1--sefik_gurmeric.txt
note_count,83
unique_note_count,14
minimum_koma53,-1
maximum_koma53,380
mean_koma53,330.8313253012048
median_koma53,336.0
std_koma53,55.788760839680194
koma53_range,381
total_unit_duration,12.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.14457831325301204
median_unit_duration,0.125
std_unit_duration,0.0867167199791912
most_common_note,A5
most_common_note_count,13
