Variable,Value
makam,muhayyer
form,turku
usul,duyek
title,sari_kizin
composer,kirsehir
filename,muhayyer--turku--duyek--sari_kizin--kirsehir.txt
note_count,785
unique_note_count,9
minimum_koma53,-1
maximum_koma53,365
mean_koma53,314.94267515923565
median_koma53,327.0
std_koma53,65.90934192152332
koma53_range,366
total_unit_duration,82.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.375
mean_unit_duration,0.10461783439490446
median_unit_duration,0.0625
std_unit_duration,0.058570452412580666
most_common_note,E5
most_common_note_count,202
