Variable,Value
makam,muhayyer
form,turku
usul,kapali_curcuna
title,evlerinin_onu
composer,elazig
filename,muhayyer--turku--kapali_curcuna--evlerinin_onu--elazig.txt
note_count,515
unique_note_count,10
minimum_koma53,-1
maximum_koma53,365
mean_koma53,323.1650485436893
median_koma53,336.0
std_koma53,61.81488259206823
koma53_range,366
total_unit_duration,100.125
minimum_unit_duration,0.0625
maximum_unit_duration,1.125
mean_unit_duration,0.19441747572815535
median_unit_duration,0.125
std_unit_duration,0.1308426390442322
most_common_note,E5
most_common_note_count,112
