Variable,Value
makam,muhayyer
form,zeybek
usul,aksak
title,serenler
composer,burdur
filename,muhayyer--zeybek--aksak--serenler--burdur.txt
note_count,725
unique_note_count,15
minimum_koma53,-1
maximum_koma53,371
mean_koma53,326.68689655172415
median_koma53,327.0
std_koma53,45.350414751330966
koma53_range,372
total_unit_duration,54.125
minimum_unit_duration,0.03125
maximum_unit_duration,0.625
mean_unit_duration,0.0746551724137931
median_unit_duration,0.0625
std_unit_duration,0.05470059191332162
most_common_note,G5
most_common_note_count,114
