Variable,Value
makam,muhayyerkurdi
form,sarki
usul,duyek
title,icin_icin
composer,sekip_ayhan_ozisik
filename,muhayyerkurdi--sarki--duyek--icin_icin--sekip_ayhan_ozisik.txt
note_count,328
unique_note_count,13
minimum_koma53,-1
maximum_koma53,380
mean_koma53,332.4817073170732
median_koma53,340.0
std_koma53,59.61466196528481
koma53_range,381
total_unit_duration,90.125
minimum_unit_duration,0.125
maximum_unit_duration,2.0
mean_unit_duration,0.27477134146341464
median_unit_duration,0.125
std_unit_duration,0.2942588151741169
most_common_note,A5
most_common_note_count,65
