Variable,Value
makam,neva
form,pesrev
usul,devrikebir
title,
composer,tanburi_cemil_bey
filename,neva--pesrev--devrikebir----tanburi_cemil_bey.txt
note_count,750
unique_note_count,19
minimum_koma53,-1
maximum_koma53,380
mean_koma53,326.7266666666667
median_koma53,336.0
std_koma53,55.28055603364901
koma53_range,381
total_unit_duration,112.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.14966666666666667
median_unit_duration,0.125
std_unit_duration,0.08924502855837631
most_common_note,D5
most_common_note_count,120
