Variable,Value
makam,neveser
form,sarki
usul,aksak
title,vaslin_ile
composer,muallim_ismail_hakki_bey
filename,neveser--sarki--aksak--vaslin_ile--muallim_ismail_hakki_bey.txt
note_count,550
unique_note_count,12
minimum_koma53,-1
maximum_koma53,358
mean_koma53,311.1018181818182
median_koma53,322.0
std_koma53,57.59421359226241
koma53_range,359
total_unit_duration,79.5
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.14454545454545453
median_unit_duration,0.125
std_unit_duration,0.08505357776373855
most_common_note,D5
most_common_note_count,124
