Variable,Value
makam,neveser
form,sazsemaisi
usul,aksaksemai
title,
composer,kanuni_omer_efendi
filename,neveser--sazsemaisi--aksaksemai----kanuni_omer_efendi.txt
note_count,2038
unique_note_count,12
minimum_koma53,-1
maximum_koma53,371
mean_koma53,313.11481844946024
median_koma53,327.0
std_koma53,72.35102729033655
koma53_range,372
total_unit_duration,245.5
minimum_unit_duration,0.03125
maximum_unit_duration,0.375
mean_unit_duration,0.1204612365063788
median_unit_duration,0.125
std_unit_duration,0.06568282845011822
most_common_note,D5
most_common_note_count,375
