Variable,Value
makam,nevruz
form,sarki
usul,yuruksemai_ii
title,esmerligi_yildiz
composer,muallim_ismail_hakki_bey
filename,nevruz--sarki--yuruksemai_ii--esmerligi_yildiz--muallim_ismail_hakki_bey.txt
note_count,236
unique_note_count,11
minimum_koma53,-1
maximum_koma53,362
mean_koma53,287.1398305084746
median_koma53,327.0
std_koma53,113.38990134014844
koma53_range,363
total_unit_duration,38.375
minimum_unit_duration,0.0625
maximum_unit_duration,0.625
mean_unit_duration,0.16260593220338984
median_unit_duration,0.125
std_unit_duration,0.09560597740211553
most_common_note,D5
most_common_note_count,40
