Variable,Value
makam,nihavent
form,agirsemai
usul,aksaksemai
title,seni_hukm-u
composer,muallim_ismail_hakki_bey
filename,nihavent--agirsemai--aksaksemai--seni_hukm-u--muallim_ismail_hakki_bey.txt
note_count,462
unique_note_count,14
minimum_koma53,0
maximum_koma53,358
mean_koma53,319.97835497835496
median_koma53,318.0
std_koma53,21.75059694744099
koma53_range,358
total_unit_duration,51.625
minimum_unit_duration,0.03125
maximum_unit_duration,0.375
mean_unit_duration,0.11174242424242424
median_unit_duration,0.0625
std_unit_duration,0.0738924680417461
most_common_note,D5
most_common_note_count,104
