Variable,Value
makam,nihavent
form,beste
usul,fahte
title,aciyaydi_bana
composer,muallim_ismail_hakki_bey
filename,nihavent--beste--fahte--aciyaydi_bana--muallim_ismail_hakki_bey.txt
note_count,205
unique_note_count,12
minimum_koma53,-1
maximum_koma53,371
mean_koma53,288.9024390243902
median_koma53,327.0
std_koma53,104.41240931762945
koma53_range,372
total_unit_duration,40.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.19634146341463415
median_unit_duration,0.1875
std_unit_duration,0.10177062583163006
most_common_note,D5
most_common_note_count,45
