Variable,Value
makam,nihavent
form,fantezi
usul,duyek
title,bahar_meltemidir
composer,emin_ongan
filename,nihavent--fantezi--duyek--bahar_meltemidir--emin_ongan.txt
note_count,389
unique_note_count,15
minimum_koma53,-1
maximum_koma53,380
mean_koma53,323.4087403598972
median_koma53,327.0
std_koma53,58.75095985797985
koma53_range,381
total_unit_duration,97.125
minimum_unit_duration,0.041666666666666664
maximum_unit_duration,1.5
mean_unit_duration,0.24967866323907456
median_unit_duration,0.125
std_unit_duration,0.24637601786908225
most_common_note,D5
most_common_note_count,86
