Variable,Value
makam,nihavent
form,sarki
usul,curcuna
title,husranla_gonul
composer,neveser_kokdes
filename,nihavent--sarki--curcuna--husranla_gonul--neveser_kokdes.txt
note_count,372
unique_note_count,20
minimum_koma53,-1
maximum_koma53,380
mean_koma53,295.89516129032256
median_koma53,318.0
std_koma53,88.55054614064669
koma53_range,381
total_unit_duration,77.625
minimum_unit_duration,0.0625
maximum_unit_duration,1.25
mean_unit_duration,0.2086693548387097
median_unit_duration,0.125
std_unit_duration,0.21575912077084727
most_common_note,D5
most_common_note_count,54
