Variable,Value
makam,nihavent
form,sarki
usul,duyek
title,bir_demet
composer,zeki_muren
filename,nihavent--sarki--duyek--bir_demet--zeki_muren.txt
note_count,345
unique_note_count,14
minimum_koma53,-1
maximum_koma53,358
mean_koma53,270.1797101449275
median_koma53,309.0
std_koma53,111.63253227237858
koma53_range,359
total_unit_duration,66.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.19166666666666668
median_unit_duration,0.125
std_unit_duration,0.10361530436402536
most_common_note,B4b5
most_common_note_count,57
