Variable,Value
makam,nihavent
form,sarki
usul,duyek
title,sarkilar_seni
composer,muzaffer_ilkar
filename,nihavent--sarki--duyek--sarkilar_seni--muzaffer_ilkar.txt
note_count,554
unique_note_count,14
minimum_koma53,-1
maximum_koma53,362
mean_koma53,313.485559566787
median_koma53,327.0
std_koma53,68.63355513562088
koma53_range,363
total_unit_duration,67.5
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.12184115523465704
median_unit_duration,0.0625
std_unit_duration,0.11425068686205807
most_common_note,D5
most_common_note_count,114
