Variable,Value
makam,nihavent
form,sarki
usul,semai
title,dil_seni
composer,civan_aga
filename,nihavent--sarki--semai--dil_seni--civan_aga.txt
note_count,490
unique_note_count,19
minimum_koma53,-1
maximum_koma53,380
mean_koma53,314.30204081632655
median_koma53,318.0
std_koma53,44.76805248649882
koma53_range,381
total_unit_duration,108.25
minimum_unit_duration,0.0625
maximum_unit_duration,1.5
mean_unit_duration,0.2209183673469388
median_unit_duration,0.125
std_unit_duration,0.21491229358968578
most_common_note,D5
most_common_note_count,89
