Variable,Value
makam,nihavent
form,sarki
usul,yuruksemai_ii
title,vucud_ikliminin
composer,haci_arif_bey
filename,nihavent--sarki--yuruksemai_ii--vucud_ikliminin--haci_arif_bey.txt
note_count,182
unique_note_count,14
minimum_koma53,-1
maximum_koma53,362
mean_koma53,301.7142857142857
median_koma53,309.0
std_koma53,67.5566119405813
koma53_range,363
total_unit_duration,24.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.375
mean_unit_duration,0.13255494505494506
median_unit_duration,0.125
std_unit_duration,0.08170699404557615
most_common_note,G4
most_common_note_count,29
