Variable,Value
makam,nikriz
form,sarki
usul,aksak
title,elmas_senin
composer,tanburi_mustafa_cavus
filename,nikriz--sarki--aksak--elmas_senin--tanburi_mustafa_cavus.txt
note_count,565
unique_note_count,12
minimum_koma53,-1
maximum_koma53,358
mean_koma53,317.8212389380531
median_koma53,327.0
std_koma53,49.57952536422413
koma53_range,359
total_unit_duration,50.75
minimum_unit_duration,0.0625
maximum_unit_duration,1.0
mean_unit_duration,0.08982300884955752
median_unit_duration,0.0625
std_unit_duration,0.06867840954579017
most_common_note,D5
most_common_note_count,132
