Variable,Value
makam,nikriz
form,sazsemaisi
usul,aksaksemai
title,
composer,refik_fersan
filename,nikriz--sazsemaisi--aksaksemai----refik_fersan.txt
note_count,896
unique_note_count,29
minimum_koma53,-1
maximum_koma53,389
mean_koma53,312.9765625
median_koma53,322.0
std_koma53,61.459842980859
koma53_range,390
total_unit_duration,80.5
minimum_unit_duration,0.03125
maximum_unit_duration,1.25
mean_unit_duration,0.08984375
median_unit_duration,0.0625
std_unit_duration,0.0797759680260158
most_common_note,D5
most_common_note_count,125
