Variable,Value
makam,nikriz
form,turku
usul,sofyan
title,kahve_yemenden
composer,
filename,nikriz--turku--sofyan--kahve_yemenden--.txt
note_count,607
unique_note_count,12
minimum_koma53,-1
maximum_koma53,340
mean_koma53,312.68039538714993
median_koma53,318.0
std_koma53,26.15105891453847
koma53_range,341
total_unit_duration,73.25
minimum_unit_duration,0.03125
maximum_unit_duration,0.75
mean_unit_duration,0.12067545304777595
median_unit_duration,0.125
std_unit_duration,0.06770288619470435
most_common_note,D5
most_common_note_count,131
