Variable,Value
makam,nisaburek
form,sarki
usul,musemmen
title,iftirakinla_efendim
composer,cevdet_cagla
filename,nisaburek--sarki--musemmen--iftirakinla_efendim--cevdet_cagla.txt
note_count,337
unique_note_count,20
minimum_koma53,-1
maximum_koma53,380
mean_koma53,322.15430267062317
median_koma53,336.0
std_koma53,59.517353818353435
koma53_range,381
total_unit_duration,40.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.375
mean_unit_duration,0.1190652818991098
median_unit_duration,0.125
std_unit_duration,0.06184190586348414
most_common_note,E5
most_common_note_count,61
