Variable,Value
makam,nisaburek
form,sazsemaisi
usul,aksaksemai
title,
composer,munir_mazhar_kamsoy
filename,nisaburek--sazsemaisi--aksaksemai----munir_mazhar_kamsoy.txt
note_count,900
unique_note_count,19
minimum_koma53,-1
maximum_koma53,371
mean_koma53,306.03555555555556
median_koma53,321.0
std_koma53,74.95543252929167
koma53_range,372
total_unit_duration,97.625
minimum_unit_duration,0.03125
maximum_unit_duration,1.25
mean_unit_duration,0.10847222222222222
median_unit_duration,0.125
std_unit_duration,0.07266067543581792
most_common_note,C5#4
most_common_note_count,164
