Variable,Value
makam,nisaburek
form,seyir
usul,sofyan
title,1
composer,sefik_gurmeric
filename,nisaburek--seyir--sofyan--1--sefik_gurmeric.txt
note_count,81
unique_note_count,14
minimum_koma53,-1
maximum_koma53,358
mean_koma53,317.2098765432099
median_koma53,327.0
std_koma53,53.017618781255806
koma53_range,359
total_unit_duration,16.0
minimum_unit_duration,0.0625
maximum_unit_duration,1.0
mean_unit_duration,0.19753086419753085
median_unit_duration,0.125
std_unit_duration,0.15195882143032638
most_common_note,E5
most_common_note_count,15
