Variable,Value
makam,rast
form,ilahi
usul,sofyan
title,sevgi_baht
composer,tahir_karagoz
filename,rast--ilahi--sofyan--sevgi_baht--tahir_karagoz.txt
note_count,121
unique_note_count,10
minimum_koma53,-1
maximum_koma53,336
mean_koma53,300.44628099173553
median_koma53,313.0
std_koma53,64.11551429688231
koma53_range,337
total_unit_duration,16.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.1322314049586777
median_unit_duration,0.0625
std_unit_duration,0.09450738598389884
most_common_note,D5
most_common_note_count,29
