Variable,Value
makam,rast
form,pesrev
usul,sakil
title,
composer,benli_hasan_aga
filename,rast--pesrev--sakil----benli_hasan_aga.txt
note_count,335
unique_note_count,16
minimum_koma53,-1
maximum_koma53,366
mean_koma53,307.20298507462684
median_koma53,322.0
std_koma53,71.58806387426779
koma53_range,367
total_unit_duration,66.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.19701492537313434
median_unit_duration,0.125
std_unit_duration,0.10001145032309022
most_common_note,D5
most_common_note_count,49
