Variable,Value
makam,rast
form,sarki
usul,cengiharbi
title,bulan_ozunu
composer,refik_fersan
filename,rast--sarki--cengiharbi--bulan_ozunu--refik_fersan.txt
note_count,360
unique_note_count,13
minimum_koma53,-1
maximum_koma53,349
mean_koma53,311.39166666666665
median_koma53,318.0
std_koma53,54.249392510365794
koma53_range,350
total_unit_duration,70.125
minimum_unit_duration,0.0625
maximum_unit_duration,2.5
mean_unit_duration,0.19479166666666667
median_unit_duration,0.125
std_unit_duration,0.17791481698572514
most_common_note,D5
most_common_note_count,110
