Variable,Value
makam,rast
form,sarki
usul,duyek
title,bana_nasil
composer,alaeddin_yavasca
filename,rast--sarki--duyek--bana_nasil--alaeddin_yavasca.txt
note_count,614
unique_note_count,15
minimum_koma53,-1
maximum_koma53,362
mean_koma53,289.428338762215
median_koma53,313.0
std_koma53,92.44071639247622
koma53_range,363
total_unit_duration,64.125
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.10443811074918567
median_unit_duration,0.0625
std_unit_duration,0.0757954677632898
most_common_note,B4b1
most_common_note_count,105
