Variable,Value
makam,rast
form,sarki
usul,duyek
title,istanbulu_artik
composer,erol_sayan
filename,rast--sarki--duyek--istanbulu_artik--erol_sayan.txt
note_count,493
unique_note_count,16
minimum_koma53,-1
maximum_koma53,371
mean_koma53,286.9188640973631
median_koma53,313.0
std_koma53,93.00409505106792
koma53_range,372
total_unit_duration,88.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.1787525354969574
median_unit_duration,0.125
std_unit_duration,0.10078384671564233
most_common_note,A4
most_common_note_count,83
