Variable,Value
makam,rast
form,sarki
usul,musemmen
title,hab-gahi
composer,giriftzen_asim_bey
filename,rast--sarki--musemmen--hab-gahi--giriftzen_asim_bey.txt
note_count,396
unique_note_count,17
minimum_koma53,-1
maximum_koma53,380
mean_koma53,313.8636363636364
median_koma53,318.0
std_koma53,56.394151693454845
koma53_range,381
total_unit_duration,52.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.375
mean_unit_duration,0.13162878787878787
median_unit_duration,0.125
std_unit_duration,0.08700955762746436
most_common_note,D5
most_common_note_count,71
