Variable,Value
makam,rast
form,sarki
usul,senginsemai
title,dil_bir
composer,dede_efendi
filename,rast--sarki--senginsemai--dil_bir--dede_efendi.txt
note_count,375
unique_note_count,12
minimum_koma53,-1
maximum_koma53,371
mean_koma53,311.72266666666667
median_koma53,327.0
std_koma53,74.79946733584063
koma53_range,372
total_unit_duration,42.25
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.11266666666666666
median_unit_duration,0.0625
std_unit_duration,0.09648946124788607
most_common_note,D5
most_common_note_count,60
