Variable,Value
makam,rast
form,yuruksemai
usul,yuruksemai
title,gelse_o_suh
composer,hafiz_post
filename,rast--yuruksemai--yuruksemai--gelse_o_suh--hafiz_post.txt
note_count,471
unique_note_count,15
minimum_koma53,-1
maximum_koma53,358
mean_koma53,312.4076433121019
median_koma53,313.0
std_koma53,39.62654742220697
koma53_range,359
total_unit_duration,96.5
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.20488322717622082
median_unit_duration,0.125
std_unit_duration,0.1266698555005961
most_common_note,G4
most_common_note_count,74
