Variable,Value
makam,rast
form,zeybek
usul,aksak
title,
composer,tanburi_cemil_bey
filename,rast--zeybek--aksak----tanburi_cemil_bey.txt
note_count,397
unique_note_count,21
minimum_koma53,0
maximum_koma53,380
mean_koma53,324.94458438287154
median_koma53,327.0
std_koma53,25.584914118392366
koma53_range,380
total_unit_duration,33.875
minimum_unit_duration,0.03125
maximum_unit_duration,0.375
mean_unit_duration,0.08532745591939547
median_unit_duration,0.0625
std_unit_duration,0.05301009145073877
most_common_note,D5
most_common_note_count,65
