Variable,Value
makam,ruhnevaz
form,agirsemai
usul,aksaksemai
title,bir_gormek
composer,yavuz_yekta
filename,ruhnevaz--agirsemai--aksaksemai--bir_gormek--yavuz_yekta.txt
note_count,684
unique_note_count,14
minimum_koma53,-1
maximum_koma53,345
mean_koma53,270.2134502923977
median_koma53,296.0
std_koma53,93.05653153793207
koma53_range,346
total_unit_duration,122.75
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.17945906432748537
median_unit_duration,0.125
std_unit_duration,0.08126437121513624
most_common_note,F4#5
most_common_note_count,108
