Variable,Value
makam,ruhnevaz
form,sazsemaisi
usul,aksaksemai
title,
composer,ozdemir_hafizoglu
filename,ruhnevaz--sazsemaisi--aksaksemai----ozdemir_hafizoglu.txt
note_count,945
unique_note_count,27
minimum_koma53,278
maximum_koma53,389
mean_koma53,323.1587301587302
median_koma53,318.0
std_koma53,24.158336072164108
koma53_range,111
total_unit_duration,134.25
minimum_unit_duration,0.03125
maximum_unit_duration,0.75
mean_unit_duration,0.14206349206349206
median_unit_duration,0.125
std_unit_duration,0.113843748923411
most_common_note,B4
most_common_note_count,149
