Variable,Value
makam,ruyidilara
form,sazsemaisi
usul,aksaksemai
title,
composer,erzurumlu_hasib_dede
filename,ruyidilara--sazsemaisi--aksaksemai----erzurumlu_hasib_dede.txt
note_count,437
unique_note_count,17
minimum_koma53,-1
maximum_koma53,380
mean_koma53,316.44851258581235
median_koma53,336.0
std_koma53,77.56240594155827
koma53_range,381
total_unit_duration,50.125
minimum_unit_duration,0.03125
maximum_unit_duration,0.25
mean_unit_duration,0.1147025171624714
median_unit_duration,0.125
std_unit_duration,0.05560741686288909
most_common_note,F5
most_common_note_count,68
