Variable,Value
makam,ruyiirak
form,kupe
usul,evfer
title,ey
composer,ahmet_avni_konuk
filename,ruyiirak--kupe--evfer--ey--ahmet_avni_konuk.txt
note_count,106
unique_note_count,14
minimum_koma53,-1
maximum_koma53,349
mean_koma53,286.6698113207547
median_koma53,318.0
std_koma53,99.31783724110073
koma53_range,350
total_unit_duration,18.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.16981132075471697
median_unit_duration,0.125
std_unit_duration,0.09787729083447365
most_common_note,D5
most_common_note_count,21
