Variable,Value
makam,saba
form,pesrev
usul,devrikebir
title,
composer,giriftzen_asim_bey
filename,saba--pesrev--devrikebir----giriftzen_asim_bey.txt
note_count,666
unique_note_count,17
minimum_koma53,-1
maximum_koma53,389
mean_koma53,319.35885885885887
median_koma53,327.0
std_koma53,63.01167373325172
koma53_range,390
total_unit_duration,84.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.12612612612612611
median_unit_duration,0.125
std_unit_duration,0.0817281735019695
most_common_note,C5
most_common_note_count,93
