Variable,Value
makam,saba
form,sarki
usul,duyek
title,donmem_kucagina
composer,avni_anil
filename,saba--sarki--duyek--donmem_kucagina--avni_anil.txt
note_count,410
unique_note_count,10
minimum_koma53,-1
maximum_koma53,365
mean_koma53,296.909756097561
median_koma53,324.0
std_koma53,99.04850088748303
koma53_range,366
total_unit_duration,62.125
minimum_unit_duration,0.03125
maximum_unit_duration,1.0
mean_unit_duration,0.15152439024390243
median_unit_duration,0.125
std_unit_duration,0.12082957831321171
most_common_note,E5
most_common_note_count,79
