Variable,Value
makam,saba
form,seyir
usul,sofyan
title,1
composer,sefik_gurmeric
filename,saba--seyir--sofyan--1--sefik_gurmeric.txt
note_count,82
unique_note_count,9
minimum_koma53,-1
maximum_koma53,354
mean_koma53,308.609756097561
median_koma53,318.0
std_koma53,62.147525818586494
koma53_range,355
total_unit_duration,12.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.14634146341463414
median_unit_duration,0.125
std_unit_duration,0.09066131785859209
most_common_note,C5
most_common_note_count,21
