Variable,Value
makam,sababuselik
form,kupe
usul,agiraksak
title,bak
composer,ahmet_avni_konuk
filename,sababuselik--kupe--agiraksak--bak--ahmet_avni_konuk.txt
note_count,107
unique_note_count,11
minimum_koma53,-1
maximum_koma53,354
mean_koma53,297.06542056074767
median_koma53,318.0
std_koma53,85.93264925554301
koma53_range,355
total_unit_duration,18.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.16822429906542055
median_unit_duration,0.125
std_unit_duration,0.09061634431390055
most_common_note,C5
most_common_note_count,27
