Variable,Value
makam,segah
form,pesrev
usul,devrikebir
title,
composer,nayi_osman_dede
filename,segah--pesrev--devrikebir----nayi_osman_dede.txt
note_count,219
unique_note_count,10
minimum_koma53,-1
maximum_koma53,349
mean_koma53,313.4703196347032
median_koma53,318.0
std_koma53,49.30891935420017
koma53_range,350
total_unit_duration,56.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.2557077625570776
median_unit_duration,0.25
std_unit_duration,0.1306200420999086
most_common_note,D5
most_common_note_count,63
