Variable,Value
makam,segah
form,pesrev
usul,serbest
title,karabatak
composer,tanburi_cemil_bey
filename,segah--pesrev--serbest--karabatak--tanburi_cemil_bey.txt
note_count,672
unique_note_count,25
minimum_koma53,-1
maximum_koma53,380
mean_koma53,321.4925595238095
median_koma53,331.5
std_koma53,66.04816878835109
koma53_range,381
total_unit_duration,94.0625
minimum_unit_duration,0.03125
maximum_unit_duration,0.75
mean_unit_duration,0.13997395833333334
median_unit_duration,0.125
std_unit_duration,0.10054188718832671
most_common_note,D5
most_common_note_count,90
