Variable,Value
makam,segah
form,turku
usul,33333
title,cemberli_cargat
composer,huseng_azeroglu
filename,segah--turku--33333--cemberli_cargat--huseng_azeroglu.txt
note_count,198
unique_note_count,9
minimum_koma53,-1
maximum_koma53,349
mean_koma53,307.1515151515151
median_koma53,327.0
std_koma53,79.12271053601336
koma53_range,350
total_unit_duration,27.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.25
mean_unit_duration,0.13636363636363635
median_unit_duration,0.125
std_unit_duration,0.05864618241269277
most_common_note,E5b1
most_common_note_count,47
