Variable,Value
makam,sehnaz
form,seyir
usul,devrihindi
title,1
composer,erol_bingol
filename,sehnaz--seyir--devrihindi--1--erol_bingol.txt
note_count,77
unique_note_count,14
minimum_koma53,305
maximum_koma53,380
mean_koma53,345.1168831168831
median_koma53,341.0
std_koma53,17.020091862246705
koma53_range,75
total_unit_duration,14.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.18181818181818182
median_unit_duration,0.125
std_unit_duration,0.10097276564457308
most_common_note,A5
most_common_note_count,12
