Variable,Value
makam,sevkefza
form,seyir
usul,sofyan
title,2
composer,sefik_gurmeric
filename,sevkefza--seyir--sofyan--2--sefik_gurmeric.txt
note_count,92
unique_note_count,19
minimum_koma53,-1
maximum_koma53,371
mean_koma53,306.4891304347826
median_koma53,323.0
std_koma53,77.31162779713114
koma53_range,372
total_unit_duration,16.0
minimum_unit_duration,0.0625
maximum_unit_duration,1.0
mean_unit_duration,0.17391304347826086
median_unit_duration,0.125
std_unit_duration,0.12899724438439497
most_common_note,F5
most_common_note_count,13
