Variable,Value
makam,sultaniyegah
form,aranagme
usul,nimsofyan
title,1
composer,
filename,sultaniyegah--aranagme--nimsofyan--1--.txt
note_count,79
unique_note_count,6
minimum_koma53,0
maximum_koma53,349
mean_koma53,326.40506329113924
median_koma53,336.0
std_koma53,39.0766895519835
koma53_range,349
total_unit_duration,16.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.20569620253164558
median_unit_duration,0.25
std_unit_duration,0.10970161797072253
most_common_note,E5
most_common_note_count,24
