Variable,Value
makam,suzidil
form,kocekce
usul,ciftesofyan
title,acep_ey
composer,ali_rifat_cagatay
filename,suzidil--kocekce--ciftesofyan--acep_ey--ali_rifat_cagatay.txt
note_count,382
unique_note_count,17
minimum_koma53,-1
maximum_koma53,389
mean_koma53,323.8979057591623
median_koma53,341.0
std_koma53,80.02107692044737
koma53_range,390
total_unit_duration,60.875
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.1593586387434555
median_unit_duration,0.125
std_unit_duration,0.06781493781843326
most_common_note,E5
most_common_note_count,84
