Variable,Value
makam,suzinak
form,sarki
usul,senginsemai
title,sensiz_geceler
composer,musa_sureyya_bey
filename,suzinak--sarki--senginsemai--sensiz_geceler--musa_sureyya_bey.txt
note_count,485
unique_note_count,12
minimum_koma53,-1
maximum_koma53,362
mean_koma53,317.8680412371134
median_koma53,318.0
std_koma53,38.815668287772596
koma53_range,363
total_unit_duration,54.25
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.11185567010309279
median_unit_duration,0.0625
std_unit_duration,0.09062225939893923
most_common_note,D5
most_common_note_count,102
