Variable,Value
makam,suzinak_zirgule
form,turku
usul,nimsofyan
title,yarim_gitti
composer,istanbul
filename,suzinak_zirgule--turku--nimsofyan--yarim_gitti--istanbul.txt
note_count,435
unique_note_count,8
minimum_koma53,0
maximum_koma53,349
mean_koma53,320.57011494252873
median_koma53,327.0
std_koma53,20.447223933253618
koma53_range,349
total_unit_duration,40.25
minimum_unit_duration,0.03125
maximum_unit_duration,0.25
mean_unit_duration,0.0925287356321839
median_unit_duration,0.0625
std_unit_duration,0.05122912389934523
most_common_note,D5
most_common_note_count,134
