Variable,Value
makam,ussak
form,ilahi
usul,sofyan
title,ey_enbiyalar
composer,
filename,ussak--ilahi--sofyan--ey_enbiyalar--.txt
note_count,349
unique_note_count,12
minimum_koma53,-1
maximum_koma53,358
mean_koma53,305.9971346704871
median_koma53,312.0
std_koma53,52.01179677016117
koma53_range,359
total_unit_duration,48.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.13825214899713467
median_unit_duration,0.125
std_unit_duration,0.08609226891492791
most_common_note,A4
most_common_note_count,87
