Variable,Value
makam,ussak
form,sarki
usul,devrihindi
title,gozlerin_hayran
composer,serif_icli
filename,ussak--sarki--devrihindi--gozlerin_hayran--serif_icli.txt
note_count,388
unique_note_count,10
minimum_koma53,0
maximum_koma53,349
mean_koma53,316.91494845360825
median_koma53,318.0
std_koma53,20.6975384135352
koma53_range,349
total_unit_duration,55.625
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.14336340206185566
median_unit_duration,0.125
std_unit_duration,0.09491391802799257
most_common_note,D5
most_common_note_count,89
