Variable,Value
makam,ussak
form,sarki
usul,duyek
title,dalinda_solarken
composer,arif_sami_toker
filename,ussak--sarki--duyek--dalinda_solarken--arif_sami_toker.txt
note_count,312
unique_note_count,14
minimum_koma53,-1
maximum_koma53,358
mean_koma53,303.4775641025641
median_koma53,312.0
std_koma53,65.36112503185636
koma53_range,359
total_unit_duration,48.125
minimum_unit_duration,0.0625
maximum_unit_duration,1.0
mean_unit_duration,0.15424679487179488
median_unit_duration,0.125
std_unit_duration,0.11841296698706687
most_common_note,C5
most_common_note_count,55
