Variable,Value
makam,ussak
form,sarki
usul,duyek
title,mevsimler_yas
composer,erol_sayan
filename,ussak--sarki--duyek--mevsimler_yas--erol_sayan.txt
note_count,689
unique_note_count,12
minimum_koma53,-1
maximum_koma53,371
mean_koma53,308.63134978229317
median_koma53,327.0
std_koma53,78.46194421616924
koma53_range,372
total_unit_duration,69.125
minimum_unit_duration,0.041666666666666664
maximum_unit_duration,0.5
mean_unit_duration,0.10032656023222061
median_unit_duration,0.0625
std_unit_duration,0.08702746039226444
most_common_note,D5
most_common_note_count,129
