Variable,Value
makam,ussak
form,sarki
usul,duyek
title,sevgi_dolu
composer,bilge_ozgen
filename,ussak--sarki--duyek--sevgi_dolu--bilge_ozgen.txt
note_count,556
unique_note_count,13
minimum_koma53,-1
maximum_koma53,358
mean_koma53,295.6726618705036
median_koma53,318.0
std_koma53,89.32445590347152
koma53_range,359
total_unit_duration,100.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.18008093525179855
median_unit_duration,0.125
std_unit_duration,0.09931844036653739
most_common_note,C5
most_common_note_count,104
