Variable,Value
makam,ussak
form,sarki
usul,turkaksagi
title,hala_aciyor
composer,serif_icli
filename,ussak--sarki--turkaksagi--hala_aciyor--serif_icli.txt
note_count,458
unique_note_count,14
minimum_koma53,-1
maximum_koma53,371
mean_koma53,319.4344978165939
median_koma53,327.0
std_koma53,48.36523461013984
koma53_range,372
total_unit_duration,39.75
minimum_unit_duration,0.03125
maximum_unit_duration,0.375
mean_unit_duration,0.08679039301310043
median_unit_duration,0.0625
std_unit_duration,0.06410820444271757
most_common_note,D5
most_common_note_count,88
