Variable,Value
makam,ussak
form,turku
usul,nimsofyan
title,kadifeden_kesesi
composer,
filename,ussak--turku--nimsofyan--kadifeden_kesesi--.txt
note_count,442
unique_note_count,9
minimum_koma53,0
maximum_koma53,349
mean_koma53,321.22850678733033
median_koma53,327.0
std_koma53,18.932145263964998
koma53_range,349
total_unit_duration,46.5
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.10520361990950226
median_unit_duration,0.0625
std_unit_duration,0.07053358625213686
most_common_note,D5
most_common_note_count,139
