Variable,Value
makam,yeni_cargah
form,seyir
usul,sofyan
title,1
composer,erol_bingol
filename,yeni_cargah--seyir--sofyan--1--erol_bingol.txt
note_count,69
unique_note_count,9
minimum_koma53,314
maximum_koma53,371
mean_koma53,341.71014492753625
median_koma53,340.0
std_koma53,14.560322242389299
koma53_range,57
total_unit_duration,12.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.17391304347826086
median_unit_duration,0.125
std_unit_duration,0.11286173726790862
most_common_note,E5
most_common_note_count,14
