Variable,Value
makam,zevkidil
form,kupe
usul,devrirevan
title,gel
composer,ahmet_avni_konuk
filename,zevkidil--kupe--devrirevan--gel--ahmet_avni_konuk.txt
note_count,137
unique_note_count,16
minimum_koma53,-1
maximum_koma53,362
mean_koma53,314.3065693430657
median_koma53,327.0
std_koma53,69.96633245436438
koma53_range,363
total_unit_duration,14.0
minimum_unit_duration,0.03125
maximum_unit_duration,0.375
mean_unit_duration,0.10218978102189781
median_unit_duration,0.0625
std_unit_duration,0.0617491257197831
most_common_note,D5
most_common_note_count,26
