Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	8	500	95	96		0.1111111
2	9	Do5	C5	318	318	3	8	1500	95	96		0.4444444
3	9	Re5	D5	327	327	1	4	1000	95	96		0.6666667
4	9	Mi5	E5	336	336	1	4	1000	95	96		0.8888889
5	9	Re5	D5	327	327	1	8	500	95	96		1
6	9	Re5	D5	327	327	1	16	250	95	96		1.055556
7	9	Do5	C5	318	318	1	16	250	95	96		1.111111
8	8	Mi5	E5	336	336	1	8	500	95	96		1.222222
9	9	Re5	D5	327	327	1	16	250	95	96		1.277778
10	9	Do5	C5	318	318	1	16	250	95	96		1.333333
11	9	Do5	C5	318	318	1	16	250	95	96		1.388889
12	9	Si4	B4	314	314	1	16	250	95	96		1.444444
13	8	Re5	D5	327	327	1	8	500	95	96		1.555556
14	9	Do5	C5	318	318	1	16	250	95	96		1.611111
15	9	Si4	B4	314	314	1	16	250	95	96		1.666667
16	9	Si4	B4	314	314	1	16	250	95	96		1.722222
17	9	La4	A4	305	305	1	16	250	95	96		1.777778
18	9	La4	A4	305	305	1	16	250	95	96		1.833333
19	9	Sol4#4	G4#4	300	300	1	16	250	95	96		1.888889
20	9	La4	A4	305	305	3	8	1500	95	96		2.222222
21	9	Sol5	G5	349	349	1	8	500	95	96		2.333333
22	9	Fa5	F5	340	340	1	16	250	95	96		2.388889
23	9	Mi5	E5	336	336	1	16	250	95	96		2.444444
24	9	Re5	D5	327	327	1	8	500	95	96		2.555556
25	9	Mi5	E5	336	336	1	8	500	95	96		2.666667
26	9	Fa5	F5	340	340	1	8	500	95	96		2.777778
27	9	Sol5	G5	349	349	1	8	500	95	96		2.888889
28	9	La5	A5	358	358	1	8	500	95	96		3
29	9	Sol5	G5	349	349	1	8	500	95	96		3.111111
30	9	Fa5	F5	340	340	1	8	500	95	96		3.222222
31	9	Fa5	F5	340	340	3	16	750	95	96		3.388889
32	9	Mi5	E5	336	336	1	16	250	95	96		3.444444
33	9	Mi5	E5	336	336	1	16	250	95	96		3.5
34	9	Re5	D5	327	327	1	16	250	95	96		3.555556
35	9	Do5	C5	318	318	1	8	500	95	96		3.666667
36	9	Re5	D5	327	327	1	8	500	95	96		3.777778
37	8	Fa5	F5	340	340	1	8	500	95	96		3.888889
38	9	Mi5	E5	336	336	1	16	250	95	96		3.944444
39	9	Re5	D5	327	327	1	16	250	95	96		4
40	9	Re5	D5	327	327	1	4	1000	95	96		4.222222
41	9			-1	-1	1	8	500	100	0		4.333333
42	9	Do5	C5	318	318	1	8	500	95	96		4.444445
43	9	Re5	D5	327	327	1	16	250	95	96		4.5
44	9	Mi5b4	E5b4	332	332	1	16	250	95	96		4.555555
45	9	Re5	D5	327	327	1	16	250	95	96		4.611111
46	9	Mi5b4	E5b4	332	332	1	16	250	95	96		4.666667
47	9	Re5	D5	327	327	1	16	250	95	96		4.722222
48	9	Do5	C5	318	318	1	16	250	95	96		4.777778
49	9	Re5	D5	327	327	1	16	250	95	96		4.833333
50	9	Mi5b4	E5b4	332	332	1	16	250	95	96		4.888889
51	9	Fa5#4	F5#4	344	344	1	16	250	95	96		4.944445
52	9	Sol5	G5	349	349	1	16	250	95	96		5
53	9	La5	A5	358	358	1	16	250	95	96		5.055555
54	9	Sol5	G5	349	349	1	16	250	95	96		5.111111
55	9	Fa5#4	F5#4	344	344	1	16	250	95	96		5.166667
56	9	Mi5b4	E5b4	332	332	1	16	250	95	96		5.222222
57	9	Re5	D5	327	327	1	16	250	95	96		5.277778
58	9	Do5	C5	318	318	1	16	250	95	96		5.333333
59	9	Re5	D5	327	327	1	8	500	95	96		5.444445
60	9	Do5	C5	318	318	1	16	250	95	96		5.5
61	9	Si4	B4	314	314	1	16	250	95	96		5.555555
62	9	Sol5	G5	349	349	1	16	250	95	96		5.611111
63	9	Fa5#4	F5#4	344	344	1	16	250	95	96		5.666667
64	9	Mi5b4	E5b4	332	332	1	16	250	95	96		5.722222
65	9	Re5	D5	327	327	1	16	250	95	96		5.777778
66	9	Re5	D5	327	327	1	16	250	95	96		5.833333
67	9	Do5	C5	318	318	1	16	250	95	96		5.888889
68	9	Do5	C5	318	318	1	16	250	95	96		5.944445
69	9	Si4	B4	314	314	1	16	250	95	96		6
70	9	Do5	C5	318	318	3	8	1500	95	96		6.333333
71	9	Do5	C5	318	318	1	16	250	95	96		6.388889
72	9	Si4	B4	314	314	1	16	250	95	96		6.444445
73	8	Re5	D5	327	327	1	8	500	95	96		6.555555
74	9	Do5	C5	318	318	1	16	250	95	96		6.611111
75	9	Si4	B4	314	314	1	16	250	95	96		6.666667
76	9	La4	A4	305	305	1	8	500	95	96		6.777778
77	9	Si4	B4	314	314	1	8	500	95	96		6.888889
78	9	Do5	C5	318	318	1	8	500	95	96		7
79	9	Re5	D5	327	327	1	8	500	95	96		7.111111
80	9	Mi5	E5	336	336	1	8	500	95	96		7.222222
81	9	Re5	D5	327	327	1	8	500	95	96		7.333333
82	9	Do5	C5	318	318	1	8	500	95	96		7.444445
83	9	Do5	C5	318	318	3	16	750	95	96		7.611111
84	9	Si4	B4	314	314	1	16	250	95	96		7.666667
85	9	Si4	B4	314	314	1	16	250	95	96		7.722222
86	9	La4	A4	305	305	1	16	250	95	96		7.777778
87	9	La4	A4	305	305	1	16	250	95	96		7.833333
88	9	Si4	B4	314	314	1	16	250	95	96		7.888889
89	9	La4	A4	305	305	3	32	375	95	96		7.972222
90	9	Sol4#4	G4#4	300	300	1	32	125	95	96		8
91	9	Fa4	F4	287	287	1	16	250	95	96		8.055555
92	9	Sol4#4	G4#4	300	300	1	16	250	95	96		8.111111
93	9	La4	A4	305	305	1	4	1000	95	96		8.333333
94	9	Si4	B4	314	314	1	8	500	95	96		8.444445
95	9	Do5	C5	318	318	1	8	500	95	96		8.555555
96	9	Re5	D5	327	327	1	16	250	95	96		8.611111
97	9	Mi5b4	E5b4	332	332	1	16	250	95	96		8.666667
98	9	Re5	D5	327	327	1	16	250	95	96		8.722222
99	9	Mi5b4	E5b4	332	332	1	16	250	95	96		8.777778
100	9	Re5	D5	327	327	1	16	250	95	96		8.833333
101	9	Do5	C5	318	318	1	16	250	95	96		8.888889
102	9	Re5	D5	327	327	1	16	250	95	96		8.944445
103	9	Mi5b4	E5b4	332	332	1	16	250	95	96		9
104	9	Fa5#4	F5#4	344	344	1	16	250	95	96		9.055555
105	9	Sol5	G5	349	349	1	16	250	95	96		9.111111
106	9	La5	A5	358	358	1	16	250	95	96		9.166667
107	9	Sol5	G5	349	349	1	16	250	95	96		9.222222
108	9	Fa5#4	F5#4	344	344	1	16	250	95	96		9.277778
109	9	Mi5b4	E5b4	332	332	1	16	250	95	96		9.333333
110	9	Re5	D5	327	327	1	16	250	95	96		9.388889
111	9	Do5	C5	318	318	1	16	250	95	96		9.444445
