Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	8	417	95	96	Gö	0.125
2	9	Do5	C5	318	318	1	4	833	95	96	nül 	0.375
3	9	Re5	D5	327	327	1	8	417	95	96	ha	0.5
4	9	Mi5	E5	336	336	3	16	625	95	96	râ	0.6875
5	9	Re5	D5	327	327	1	16	208	95	96		0.75
6	9	Re5	D5	327	327	1	8	417	95	96	re	0.875
7	9	Fa5	F5	340	340	1	8	417	95	96	ti 	1
8	9	Mi5	E5	336	336	1	8	417	95	96	sön	1.125
9	9	Re5	D5	327	327	1	8	417	95	96		1.25
10	9	Re5	D5	327	327	1	16	208	95	96		1.3125
11	9	Do5	C5	318	318	1	16	208	95	96		1.375
12	9	Do5	C5	318	318	1	16	208	95	96		1.4375
13	9	Si4	B4	314	314	1	16	208	95	96		1.5
14	9	Do5	C5	318	318	1	4	833	95	96	mez 	1.75
15	9			-1	-1	1	4	833	100	0		2
16	9	Re5	D5	327	327	1	8	417	95	96	þa	2.125
17	9	Mi5	E5	336	336	1	4	833	95	96	râb_	2.375
18	9	Fa5#4	F5#4	344	344	1	8	417	95	96	ý 	2.5
19	9	Sol5	G5	349	349	3	16	625	95	96	kev	2.6875
20	9	Fa5#4	F5#4	344	344	1	16	208	95	96		2.75
21	9	Sol5	G5	349	349	1	16	208	95	96	ser	2.8125
22	9	Fa5#4	F5#4	344	344	1	16	208	95	96		2.875
23	9	Fa5#4	F5#4	344	344	1	16	208	95	96		2.9375
24	9	Mi5	E5	336	336	1	16	208	95	96		3
25	9	Mi5	E5	336	336	3	8	1250	95	96	le  	3.375
26	9	Re5	D5	327	327	1	8	417	95	96	SAZ	3.5
27	9	Mi5	E5	336	336	1	16	208	95	96	.	3.5625
28	9	Re5	D5	327	327	1	16	208	95	96	.	3.625
29	9	Do5	C5	318	318	1	16	208	95	96	.	3.6875
30	9	Si4	B4	314	314	1	16	208	95	96	.	3.75
31	9	La4	A4	305	305	1	4	833	95	96	.	4
32	52			0	0	1	8	0	127	17		4.125
33	9	Sol4	G4	296	296	1	8	417	95	96	Gö	4.25
