Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi5	E5	336	336	2	8	370	95	96	ARANAÐME	0.3333333
2	9	Fa5	F5	340	340	2	8	370	95	96	.	0.6666667
3	9	Mi5	E5	336	336	2	8	370	95	96	.	1
4	4	La5	A5	358	358	1	2	741	95	96	.	1.666667
5	9	Fa5	F5	340	340	1	4	370	95	96	.	2
6	9	Mi5	E5	336	336	2	8	370	95	96	.	2.333333
7	9	Fa5	F5	340	340	2	8	370	95	96	.	2.666667
8	9	Mi5	E5	336	336	2	8	370	95	96	.	3
9	9	La5	A5	358	358	1	2	741	95	96	.	3.666667
10	9			-1	-1	1	4	370	100	0	.	4
11	9	Sol5	G5	349	349	1	4	370	95	96	.	4.333333
12	9	Mi5	E5	336	336	1	4	370	95	96	.	4.666667
13	9	Sol5	G5	349	349	1	4	370	95	96	.	5
14	9	Fa5	F5	340	340	1	4	370	95	96	.	5.333333
15	9	Re5	D5	327	327	1	4	370	95	96	.	5.666667
16	9	Fa5	F5	340	340	1	4	370	95	96	.	6
17	9	Mi5	E5	336	336	3	4	1111	100	96	.	7
18	9	Mi5	E5	336	336	3	4	1111	95	96	.	8
19	9	Re5	D5	327	327	1	4	370	95	96	.	8.333333
20	9	Mi5	E5	336	336	1	4	370	95	96	.	8.666667
21	9	Fa5	F5	340	340	1	4	370	95	96	.	9
22	9	Mi5	E5	336	336	4	8	741	95	96	.	9.666667
23	9	Do5	C5	318	318	1	4	370	95	96	.	10
24	9	Si4	B4	314	314	1	4	370	95	96	.	10.33333
25	9	Do5	C5	318	318	1	4	370	95	96	.	10.66667
26	9	Re5	D5	327	327	1	4	370	95	96	.	11
27	9	Do5	C5	318	318	1	2	741	95	96	.	11.66667
28	9	Si4	B4	314	314	1	4	370	95	96	.	12
29	9	Re5	D5	327	327	1	4	370	95	96	.	12.33333
30	9	Do5	C5	318	318	1	4	370	95	96	.	12.66667
31	9	Si4	B4	314	314	1	4	370	95	96	.	13
32	9	La4	A4	305	305	1	4	370	95	96	.	13.33333
33	9	Sol4#4	G4#4	300	300	1	4	370	95	96	.	13.66667
34	9	Si4	B4	314	314	1	4	370	95	96	.	14
35	9	La4	A4	305	305	1	2	741	95	96	.	14.66667
36	1	La4	A4	305	305	1	12	123	95	96	.	14.77778
37	1	Do5	C5	318	318	1	12	123	95	96	.	14.88889
38	1	Mi5	E5	336	336	1	12	123	95	96	.	15
39	1	La5	A5	358	358	1	2	741	95	96	.	15.66667
40	9			-1	-1	1	4	370	100	0		16
41	52			0	0	1	4	0	127	35		16.33333
42	9	Mi5	E5	336	336	2	8	370	95	96	ARANAÐME	16.66667
43	9	Fa5	F5	340	340	2	8	370	95	96	.	17
44	9	Mi5	E5	336	336	2	8	370	95	96	.	17.33333
45	4	La5	A5	358	358	1	2	741	95	96	.	18
46	9	Fa5	F5	340	340	1	4	370	95	96	.	18.33333
47	9	Mi5	E5	336	336	2	8	370	95	96	.	18.66667
48	9	Fa5	F5	340	340	2	8	370	95	96	.	19
49	9	Mi5	E5	336	336	2	8	370	95	96	.	19.33333
50	9	La5	A5	358	358	1	2	741	95	96	.	20
51	9			-1	-1	1	4	370	100	0	.	20.33333
52	9	Sol5	G5	349	349	1	4	370	95	96	.	20.66667
53	9	Mi5	E5	336	336	1	4	370	95	96	.	21
54	9	Sol5	G5	349	349	1	4	370	95	96	.	21.33333
55	9	Fa5	F5	340	340	1	4	370	95	96	.	21.66667
56	9	Re5	D5	327	327	1	4	370	95	96	.	22
57	9	Fa5	F5	340	340	1	4	370	95	96	.	22.33333
58	9	Mi5	E5	336	336	3	2	2222	95	96	.	24.33333
59	9	Re5	D5	327	327	1	4	370	95	96	.	24.66667
60	9	Mi5	E5	336	336	1	4	370	95	96	.	25
61	9	Fa5	F5	340	340	1	4	370	95	96	.	25.33333
62	9	Mi5	E5	336	336	4	8	741	95	96	.	26
63	9	Do5	C5	318	318	1	4	370	95	96	.	26.33333
64	9	Si4	B4	314	314	1	4	370	95	96	.	26.66667
65	9	Do5	C5	318	318	1	4	370	95	96	.	27
66	9	Re5	D5	327	327	1	4	370	95	96	.	27.33333
67	9	Do5	C5	318	318	1	2	741	95	96	.	28
68	9	Si4	B4	314	314	1	4	370	95	96	.	28.33333
69	9	Re5	D5	327	327	1	4	370	95	96	.	28.66667
70	9	Do5	C5	318	318	1	4	370	95	96	.	29
71	9	Si4	B4	314	314	1	4	370	95	96	.	29.33333
72	9	La4	A4	305	305	1	4	370	95	96	.	29.66667
73	9	Sol4#4	G4#4	300	300	1	4	370	95	96	.	30
74	9	Si4	B4	314	314	1	4	370	95	96	.	30.33333
75	9	La4	A4	305	305	5	4	1852	95	96	.	32
76	9			-1	-1	1	4	370	100	0		32.33333
77	9	Do5	C5	318	318	1	2	741	99	84	Dil	33
78	9	Si4	B4	314	314	1	4	370	95	84		33.33333
79	9	Do5	C5	318	318	1	2	741	95	96	bes	34
80	9	Si4	B4	314	314	1	4	370	95	96	te	34.33333
81	9	La4	A4	305	305	1	2	741	99	66	nim 	35
82	9	Si4	B4	314	314	1	4	370	99	69		35.33333
83	9	Sol4	G4	296	296	1	2	741	95	72		36
84	9			-1	-1	1	4	370	100	75		36.33333
85	9	Do5	C5	318	318	1	2	741	99	78	mes	37
86	9	Si4	B4	314	314	1	4	370	95	96		37.33333
87	9	Do5	C5	318	318	1	2	741	95	96	hû	38
88	9	Re5	D5	327	327	1	4	370	95	96	ru	38.33333
89	9	Mi5	E5	336	336	3	4	1111	95	96	num  	39.33333
90	1	Mi5	E5	336	336	1	8	185	95	96	SAZ	39.5
91	1	Do5	C5	318	318	1	8	185	95	96	.	39.66667
92	1	Mi5	E5	336	336	1	8	185	95	96	.	39.83333
93	1	Fa5	F5	340	340	1	8	185	95	96	.	40
94	1	Sol5	G5	349	349	1	8	185	95	96	.	40.16667
95	1	Sol5#4	G5#4	353	353	1	8	185	95	96	.	40.33333
96	9	La5	A5	358	358	1	2	741	99	96	Üf	41
97	9	Sol5	G5	349	349	1	4	370	95	96		41.33333
98	9	Fa5	F5	340	340	1	2	741	95	96	tâ	42
99	9	Mi5	E5	336	336	1	4	370	95	96	de	42.33333
100	9	Re5	D5	327	327	1	2	740	99	96	nim 	43
101	9	Fa5	F5	340	340	1	4	370	99	96		43.33333
102	9	Mi5	E5	336	336	1	2	741	95	96		44
103	9			-1	-1	1	4	370	100	0		44.33333
104	9	Do5	C5	318	318	1	2	741	99	108	mec	45
105	9	Re5	D5	327	327	1	4	370	95	108		45.33333
106	9	Mi5	E5	336	336	1	2	741	95	66	bû	46
107	9	Re5	D5	327	327	1	4	370	95	90	ru	46.33333
108	9	Do5	C5	318	318	1	2	741	99	114	num  	47
109	9	Si4	B4	314	314	1	4	370	99	96		47.33333
110	9	Do5	C5	318	318	3	4	1111	95	96		48.33333
111	9	Do5	C5	318	318	1	2	741	99	84	Dil	49
112	9	Si4	B4	314	314	1	4	370	95	84		49.33333
113	9	Do5	C5	318	318	1	2	741	95	96	bes	50
114	9	Si4	B4	314	314	1	4	370	95	96	te	50.33333
115	9	La4	A4	305	305	1	2	741	99	66	nim 	51
116	9	Si4	B4	314	314	1	4	370	99	69		51.33333
117	9	Sol4	G4	296	296	1	2	741	95	72		52
118	9			-1	-1	1	4	370	100	75		52.33333
119	9	Do5	C5	318	318	1	2	741	99	78	mes	53
120	9	Si4	B4	314	314	1	4	370	95	96		53.33333
121	9	Do5	C5	318	318	1	2	741	95	96	hû	54
122	9	Re5	D5	327	327	1	4	370	95	96	ru	54.33333
123	9	Mi5	E5	336	336	3	4	1111	95	96	num  	55.33333
124	1	Mi5	E5	336	336	1	8	185	95	96	SAZ	55.5
125	1	Do5	C5	318	318	1	8	185	95	96	.	55.66667
126	1	Mi5	E5	336	336	1	8	185	95	96	.	55.83333
127	1	Fa5	F5	340	340	1	8	185	95	96	.	56
128	1	Sol5	G5	349	349	1	8	185	95	96	.	56.16667
129	1	Sol5#4	G5#4	353	353	1	8	185	95	96	.	56.33333
130	9	La5	A5	358	358	1	2	741	99	96	Üf	57
131	9	Sol5	G5	349	349	1	4	370	95	96		57.33333
132	9	Fa5	F5	340	340	1	2	741	95	96	tâ	58
133	9	Mi5	E5	336	336	1	4	370	95	96	de	58.33333
134	9	Re5	D5	327	327	1	2	740	99	96	nim 	59
135	9	Fa5	F5	340	340	1	4	370	99	96		59.33333
136	9	Mi5	E5	336	336	1	2	741	95	96		60
137	9			-1	-1	1	4	370	100	0		60.33333
138	9	Do5	C5	318	318	1	2	741	99	108	mec	61
139	9	Re5	D5	327	327	1	4	370	95	108		61.33333
140	9	Mi5	E5	336	336	1	2	741	95	66	bû	62
141	9	Re5	D5	327	327	1	4	370	95	90	ru	62.33333
142	9	Do5	C5	318	318	1	2	741	99	114	num  	63
143	9	Si4	B4	314	314	1	4	370	99	96		63.33333
144	9	Do5	C5	318	318	3	4	1111	95	96		64.33334
145	9	Re5	D5	327	327	3	4	1111	95	84	Bî	65.33334
146	8	Fa5	F5	340	340	0	0	0	95	84		65.33334
147	9	Mi5b4	E5b4	332	332	1	4	370	99	84	ça	65.66666
148	9	Re5	D5	327	327	1	4	370	95	84		66
149	9	Do5	C5	318	318	1	4	370	95	84	re	66.33334
150	9	Re5	D5	327	327	1	2	741	99	84	nim 	67
151	9	Mi5b4	E5b4	332	332	1	4	370	99	84		67.33334
152	9	Re5	D5	327	327	1	2	741	99	84		68
153	9	Sol5	G5	349	349	1	4	370	95	84		68.33334
154	8	La5	A5	358	358	0	0	0	95	84		68.33334
155	9	Sol5	G5	349	349	1	2	741	99	96	meh	69
156	9	Fa5#4	F5#4	344	344	1	4	370	95	96		69.33334
157	9	Mi5b4	E5b4	332	332	1	4	370	99	66	cû	69.66666
158	9	Re5	D5	327	327	1	4	370	95	74		70
159	9	Do5	C5	318	318	1	4	370	95	82	ru	70.33334
160	9	Re5	D5	327	327	5	4	1852	95	90	num  	72
161	9			-1	-1	1	4	370	100	106		72.33334
162	9	Mi5	E5	336	336	1	2	741	99	114	Üf	73
163	9	Re5#4	D5#4	331	331	1	4	370	95	96		73.33334
164	9	Mi5	E5	336	336	1	2	741	95	96	tâ	74
165	9	Fa5	F5	340	340	1	4	370	95	96	de	74.33334
166	9	Mi5	E5	336	336	1	2	741	99	96	nim 	75
167	9	Re5#4	D5#4	331	331	1	4	370	99	96		75.33334
168	9	Mi5	E5	336	336	1	2	741	95	96		76
169	9			-1	-1	1	4	370	100	0		76.33334
170	9	Do5	C5	318	318	1	2	741	99	96	mec	77
171	9	Si4	B4	314	314	1	4	370	95	96		77.33334
172	9	La4	A4	305	305	1	2	741	95	96	bû	78
173	9	Sol4#4	G4#4	300	300	1	4	370	95	96	ru	78.33334
174	4	La4	A4	305	305	3	4	1111	99	96	num  	79.33334
175	9	Re5	D5	327	327	1	2	741	95	96		80
176	9			-1	-1	1	4	370	100	0		80.33334
