Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi5	E5	336	336	3	32	375	95	96	ARANAÐME	8.333334E-02
2	9	Re5#4	D5#4	331	331	1	32	125	95	96	.	0.1111111
3	9	Mi5	E5	336	336	1	16	250	95	96	.	0.1666667
4	9	La5	A5	358	358	1	16	250	95	96	.	0.2222222
5	9	Sol5#4	G5#4	353	353	1	16	250	95	96	.	0.2777778
6	9	Fa5	F5	340	340	1	16	250	95	96	.	0.3333333
7	9	Mi5	E5	336	336	1	16	250	95	96	.	0.3888889
8	9	Re5#4	D5#4	331	331	1	16	250	95	96	.	0.4444444
9	9	Do5	C5	318	318	3	32	375	95	96	.	0.5277778
10	9	Si4	B4	314	314	1	32	125	95	96	.	0.5555556
11	9	La4	A4	305	305	1	16	250	95	96	.	0.6111111
12	9	Do5	C5	318	318	1	16	250	95	96	.	0.6666667
13	9	Si4	B4	314	314	1	16	250	95	96	.	0.7222222
14	9	La4	A4	305	305	1	16	250	95	96	.	0.7777778
15	9	Sol4#4	G4#4	300	300	1	16	250	95	96	.	0.8333333
16	9	Fa4	F4	287	287	1	16	250	95	96	.	0.8888889
17	9	Mi4	E4	283	283	1	8	500	95	96	.	1
18	9	Mi5	E5	336	336	1	16	250	95	96	.	1.055556
19	9	Fa5	F5	340	340	2	16	500	95	96	.	1.166667
20	9	Mi5	E5	336	336	1	16	250	95	96	.	1.222222
21	9	Mi5	E5	336	336	1	16	250	95	96	.	1.277778
22	9	Re5#4	D5#4	331	331	2	16	500	95	96	.	1.388889
23	9	Do5	C5	318	318	1	16	250	95	96	.	1.444444
24	9	Mi5	E5	336	336	1	16	250	95	96	.	1.5
25	9	Fa5	F5	340	340	2	16	500	95	96	.	1.611111
26	9	Mi5	E5	336	336	1	16	250	95	96	.	1.666667
27	1	Mi5	E5	336	336	1	16	250	95	96	.	1.722222
28	1	Re5#4	D5#4	331	331	1	32	125	95	96	.	1.75
29	1	Do5	C5	318	318	1	32	125	95	96	.	1.777778
30	1	Si4	B4	314	314	1	32	125	95	96	.	1.805556
31	1	La4	A4	305	305	1	32	125	95	96	.	1.833333
32	1	Sol4#4	G4#4	300	300	1	32	125	95	96	.	1.861111
33	1	Fa4	F4	287	287	1	32	125	95	96	.	1.888889
34	1	Mi4	E4	283	283	1	8	500	95	96	.	2
35	9	Mi5	E5	336	336	3	32	375	95	96	.	2.083333
36	9	Re5#4	D5#4	331	331	1	32	125	95	96	.	2.111111
37	9	Mi5	E5	336	336	1	16	250	95	96	.	2.166667
38	9	La5	A5	358	358	1	16	250	95	96	.	2.222222
39	9	Sol5#4	G5#4	353	353	1	16	250	95	96	.	2.277778
40	9	Fa5	F5	340	340	1	16	250	95	96	.	2.333333
41	9	Mi5	E5	336	336	1	16	250	95	96	.	2.388889
42	9	Re5#4	D5#4	331	331	1	16	250	95	96	.	2.444444
43	9	Do5	C5	318	318	3	32	375	95	96	.	2.527778
44	9	Si4	B4	314	314	1	32	125	95	96	.	2.555556
45	9	La4	A4	305	305	1	16	250	95	96	.	2.611111
46	9	Do5	C5	318	318	1	16	250	95	96	.	2.666667
47	9	Si4	B4	314	314	1	16	250	95	96	.	2.722222
48	9	La4	A4	305	305	1	16	250	95	96	.	2.777778
49	9	Sol4#4	G4#4	300	300	1	16	250	95	96	.	2.833333
50	9	Fa4	F4	287	287	1	16	250	95	96	.	2.888889
51	1	Mi4	E4	283	283	1	32	125	95	96	.	2.916667
52	1	Fa4	F4	287	287	1	32	125	95	96	.	2.944444
53	1	Sol4#4	G4#4	300	300	1	32	125	95	96	.	2.972222
54	1	La4	A4	305	305	1	32	125	95	96	.	3
55	9	Si4	B4	314	314	1	16	250	95	96	.	3.055556
56	9	Do5	C5	318	318	1	16	250	95	96	.	3.111111
57	9	Re5	D5	327	327	1	16	250	95	96	.	3.166667
58	9	Mi5	E5	336	336	1	16	250	95	96	.	3.222222
59	9	Re5	D5	327	327	1	16	250	95	96	.	3.277778
60	9	Mi5	E5	336	336	2	16	500	95	96	.	3.388889
61	9	Re5	D5	327	327	1	16	250	95	96	.	3.444444
62	9	Do5	C5	318	318	1	16	250	95	96	.	3.5
63	9	Si4	B4	314	314	1	16	250	95	96	.	3.555556
64	9	La4	A4	305	305	1	16	250	95	96	.	3.611111
65	9	Sol4#4	G4#4	300	300	1	16	250	95	96	.	3.666667
66	9	La4	A4	305	305	3	8	1500	95	96	.	4
67	52			0	0	1	8	0	120	0		4.111111
68	9	Mi5	E5	336	336	3	32	375	95	96	ARANAÐME	4.194445
69	9	Re5#4	D5#4	331	331	1	32	125	95	96	.	4.222222
70	9	Mi5	E5	336	336	1	16	250	95	96	.	4.277778
71	9	La5	A5	358	358	1	16	250	95	96	.	4.333333
72	9	Sol5#4	G5#4	353	353	1	16	250	95	96	.	4.388889
73	9	Fa5	F5	340	340	1	16	250	95	96	.	4.444445
74	9	Mi5	E5	336	336	1	16	250	95	96	.	4.5
75	9	Re5#4	D5#4	331	331	1	16	250	95	96	.	4.555555
76	9	Do5	C5	318	318	3	32	375	95	96	.	4.638889
77	9	Si4	B4	314	314	1	32	125	95	96	.	4.666667
78	9	La4	A4	305	305	1	16	250	95	96	.	4.722222
79	9	Do5	C5	318	318	1	16	250	95	96	.	4.777778
80	9	Si4	B4	314	314	1	16	250	95	96	.	4.833333
81	9	La4	A4	305	305	1	16	250	95	96	.	4.888889
82	9	Sol4#4	G4#4	300	300	1	16	250	95	96	.	4.944445
83	9	Fa4	F4	287	287	1	16	250	95	96	.	5
84	9	Mi4	E4	283	283	1	8	500	95	96	.	5.111111
85	9	Mi5	E5	336	336	1	16	250	95	96	.	5.166667
86	9	Fa5	F5	340	340	2	16	500	95	96	.	5.277778
87	9	Mi5	E5	336	336	1	16	250	95	96	.	5.333333
88	9	Mi5	E5	336	336	1	16	250	95	96	.	5.388889
89	9	Re5#4	D5#4	331	331	2	16	500	95	96	.	5.5
90	9	Do5	C5	318	318	1	16	250	95	96	.	5.555555
91	9	Mi5	E5	336	336	1	16	250	95	96	.	5.611111
92	9	Fa5	F5	340	340	2	16	500	95	96	.	5.722222
93	9	Mi5	E5	336	336	1	16	250	95	96	.	5.777778
94	1	Mi5	E5	336	336	1	16	250	95	96	.	5.833333
95	1	Re5#4	D5#4	331	331	1	32	125	95	96	.	5.861111
96	1	Do5	C5	318	318	1	32	125	95	96	.	5.888889
97	1	Si4	B4	314	314	1	32	125	95	96	.	5.916667
98	1	La4	A4	305	305	1	32	125	95	96	.	5.944445
99	1	Sol4#4	G4#4	300	300	1	32	125	95	96	.	5.972222
100	1	Fa4	F4	287	287	1	32	125	95	96	.	6
101	1	Mi4	E4	283	283	1	8	500	95	96	.	6.111111
