Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	1000	95	96		0.25
2	9	Mi5	E5	336	336	1	8	500	95	96		0.375
3	9	Re5	D5	327	327	1	8	500	95	96		0.5
4	9	Mi5	E5	336	336	1	4	1000	95	96		0.75
5	9	Fa5	F5	340	340	1	4	1000	95	96		1
6	9	Mi5	E5	336	336	1	2	2000	95	96		1.5
7	9	Re5	D5	327	327	1	16	250	95	96		1.5625
8	9	Fa5	F5	340	340	1	16	250	95	96		1.625
9	9	Mi5	E5	336	336	1	16	250	95	96		1.6875
10	9	Re5	D5	327	327	1	16	250	95	96		1.75
11	9	Re5	D5	327	327	1	4	1000	95	96		2
12	9	Do5	C5	318	318	1	8	500	95	96		2.125
13	9	Re5	D5	327	327	1	8	500	95	96		2.25
14	9	Do5	C5	318	318	1	8	500	95	96		2.375
15	9	Si4b2	B4b1	312	313	1	8	500	95	96		2.5
16	9	Do5	C5	318	318	1	4	1000	95	96		2.75
17	9	Re5	D5	327	327	1	4	1000	95	96		3
18	9	Mi5	E5	336	336	1	2	2000	95	96		3.5
19	9	Do5	C5	318	318	1	8	500	95	96		3.625
20	9	Si4b2	B4b1	312	313	1	8	500	95	96		3.75
21	9	La4	A4	305	305	1	4	1000	95	96		4
22	9	La4	A4	305	305	1	8	500	95	96		4.125
23	9			-1	-1	1	8	500	100	0		4.25
24	9	Do5	C5	318	318	1	8	500	95	96		4.375
25	9	Re5	D5	327	327	1	8	500	95	96		4.5
26	9	Mi5	E5	336	336	1	4	1000	95	96		4.75
27	9	Fa5	F5	340	340	1	4	1000	95	96		5
28	9	Mi5	E5	336	336	1	2	2000	95	96		5.5
29	9	Re5	D5	327	327	1	8	500	95	96		5.625
30	9	Fa5	F5	340	340	1	8	500	95	96		5.75
31	9	Mi5	E5	336	336	1	8	500	95	96		5.875
32	9	Re5	D5	327	327	1	8	500	95	96		6
33	9	Do5	C5	318	318	1	8	500	95	96		6.125
34	9	Si4b2	B4b1	312	313	1	8	500	95	96		6.25
35	9	Do5	C5	318	318	1	8	500	95	96		6.375
36	9	Re5	D5	327	327	1	8	500	95	96		6.5
37	9	Mi5	E5	336	336	1	8	500	95	96		6.625
38	9	Re5	D5	327	327	1	8	500	95	96		6.75
39	9	Do5	C5	318	318	1	8	500	95	96		6.875
40	9	Si4b2	B4b1	312	313	1	8	500	95	96		7
41	9	La4	A4	305	305	3	8	1500	95	96		7.375
42	9	Do5	C5	318	318	1	8	500	95	96		7.5
43	9	Si4b2	B4b1	312	313	1	8	500	95	96		7.625
44	9	La4	A4	305	305	1	8	500	95	96		7.75
45	9	Sol4	G4	296	296	1	4	1000	95	96		8
