Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	455	100	0		0.1111111
2	9	Sol5	G5	349	349	1	8	455	99	84	Arz_	0.2222222
3	9	Fa5#3	F5#4	343	344	1	8	455	99	84		0.3333333
4	9	Mi5	E5	336	336	1	8	455	95	84		0.4444444
5	9	Mi5	E5	336	336	1	2	1818	99	84	et	0.8888889
6	8	Fa5	F5	340	340	0	0	0	99	84		0.8888889
7	9	Re5	D5	327	327	1	8	455	95	84		1
8	9			-1	-1	1	8	455	100	0		1.111111
9	9	Sol5	G5	349	349	1	8	455	99	84	me	1.222222
10	9	Fa5#3	F5#4	343	344	1	8	455	95	84		1.333333
11	9	Sol5	G5	349	349	1	8	455	95	84	di	1.444444
12	10	Fa5#3	F5#4	343	344	1	8	455	99	84	ðim 	1.555556
13	8	La5	A5	358	358	0	0	0	99	84		1.555556
14	9	Sol5	G5	349	349	1	16	227	99	84		1.611111
15	9	Fa5#3	F5#4	343	344	1	16	227	99	84		1.666667
16	9	Mi5	E5	336	336	3	8	1364	95	84		2
17	9			-1	-1	1	8	455	100	0		2.111111
18	9	Fa5	F5	340	340	1	4	909	95	96	yâ	2.333333
19	9	Fa5	F5	340	340	1	16	227	99	96	re 	2.388889
20	9	Mi5	E5	336	336	1	16	227	95	96		2.444444
21	9	Fa5	F5	340	340	3	32	341	99	96	me	2.527778
22	9	Mi5	E5	336	336	1	32	114	99	96		2.555556
23	9	Fa5	F5	340	340	1	16	227	99	96		2.611111
24	9	Sol5	G5	349	349	1	16	227	99	96		2.666667
25	8	La5	A5	358	358	0	0	0	95	96		2.666667
26	9	Sol5	G5	349	349	1	16	227	99	96	ðer 	2.722222
27	9	Fa5	F5	340	340	1	16	227	99	96		2.777778
28	9	Mi5	E5	336	336	1	16	227	99	96		2.833333
29	9	Re5	D5	327	327	1	16	227	99	78		2.888889
30	9	Do5#4	C5#4	322	322	1	8	455	95	78		3
31	9			-1	-1	1	8	455	100	78		3.111111
32	9	Re5	D5	327	327	1	4	909	95	78	ya	3.333333
33	9	Mi5	E5	336	336	1	8	455	95	96	re 	3.444444
34	9	Mi5	E5	336	336	1	8	455	99	96	mi 	3.555556
35	9	Re5	D5	327	327	1	8	455	95	96		3.666667
36	9	Sol5	G5	349	349	1	8	455	99	96	kal	3.777778
37	9	Fa5#2	F5#1	342	341	1	8	455	99	96		3.888889
38	8	Sol5	G5	349	349	0	0	0	99	96		3.888889
39	9	Fa5#2	F5#1	342	341	1	16	227	99	96		3.944444
40	9	Mi5	E5	336	336	1	16	227	95	96		4
41	9	Mi5	E5	336	336	3	8	1364	99	96	dý  	4.333333
42	9	La5	A5	358	358	1	8	455	99	96		4.444445
43	9	Sol5#4	G5#4	353	353	1	8	455	99	96		4.555555
44	9	La5	A5	358	358	1	16	227	99	96		4.611111
45	9	Sol5#4	G5#4	353	353	1	16	227	99	96		4.666667
46	9	Fa5	F5	340	340	1	16	227	99	96		4.722222
47	9	Mi5	E5	336	336	1	16	227	99	96		4.777778
48	9	Re5	D5	327	327	1	16	227	99	96		4.833333
49	9	Do5#4	C5#4	322	322	1	16	227	99	78		4.888889
50	9	Re5	D5	327	327	1	8	455	95	90		5
51	9			-1	-1	1	8	455	100	102		5.111111
52	9	Sol5	G5	349	349	1	8	455	99	114	ya	5.222222
53	9	Fa5#3	F5#4	343	344	1	8	455	95	96		5.333333
54	9	Sol5	G5	349	349	1	8	455	95	96	re 	5.444445
55	9	Fa5#3	F5#4	343	344	1	8	455	95	96	mi 	5.555555
56	9	Mi5	E5	336	336	1	2	1818	95	96	kal	6
57	9	Re5	D5	327	327	1	8	455	99	96	dý  	6.111111
58	9	Mi5	E5	336	336	1	4	909	95	96		6.333333
59	9	Do5	C5	318	318	1	8	455	95	96	SAZ	6.444445
60	10	Re5	D5	327	327	1	16	227	95	96	.	6.5
61	8	Mi5	E5	336	336	0	0	0	95	96	.	6.5
62	9	Re5	D5	327	327	1	16	227	95	96	.	6.555555
